アイテム,識別子,ラベル,地域,緯度,経度
https://mediaarts-db.bunka.go.jp/id/C46282,C46282,コンピューターランド北海道,北海道札幌市,,
https://mediaarts-db.bunka.go.jp/id/C46247,C46247,バンダイ・デジタル・エンタテインメント,東京都台東区蔵前3-1-10蔵前セントラルビル5F,,
https://mediaarts-db.bunka.go.jp/id/C46249,C46249,アクティマインド,東京都千代田区神田須田町2-19-27,,
https://mediaarts-db.bunka.go.jp/id/C44984,C44984,アスク,東京都新宿区下宮比町2-6,,
https://mediaarts-db.bunka.go.jp/id/C45062,C45062,エス・エヌ・ケイ,大阪府吹田市江の木町1番6号,,
https://mediaarts-db.bunka.go.jp/id/C45114,C45114,1C Company,"Moscow, Russia",,
https://mediaarts-db.bunka.go.jp/id/C45102,C45102,魔法,兵庫県神戸市中央区葺合町馬止1-10 マジカルビル,,
https://mediaarts-db.bunka.go.jp/id/C46677,C46677,ジョイナック,東京都中野区本町4-48-17-205,,
https://mediaarts-db.bunka.go.jp/id/C45895,C45895,リズ,東京都中野区本町4-46-9　オーチュー第6ビル3F,,
https://mediaarts-db.bunka.go.jp/id/C45897,C45897,TBSテレビ,東京都港区赤坂5丁目3番6号TBS放送センター内,,
https://mediaarts-db.bunka.go.jp/id/C45898,C45898,フェイス,東京都中野区東京都中野区弥生町1-9-8,,
https://mediaarts-db.bunka.go.jp/id/C45900,C45900,HORI,神奈川県横浜市都筑区佐江戸町640,,
https://mediaarts-db.bunka.go.jp/id/C45917,C45917,"Atari, Inc.","417 Fifth Avenue, New York, NY 10016, United States",,
https://mediaarts-db.bunka.go.jp/id/C45906,C45906,アスク講談社,東京都新宿区下宮比町2-6,,
https://mediaarts-db.bunka.go.jp/id/C45911,C45911,シャングリ・ラ,東京都府中市清水が丘1丁目1番地3,,
https://mediaarts-db.bunka.go.jp/id/C45915,C45915,コーエーテクモウェーブ,東京都千代田区九段北四丁目1番34号,,
https://mediaarts-db.bunka.go.jp/id/C45964,C45964,コナミアミューズメント,愛知県一宮市高田字池尻１番地,,
https://mediaarts-db.bunka.go.jp/id/C45976,C45976,エイエムアイ,東京都豊島区南池袋1-10-13　荒井ビル2F,,
https://mediaarts-db.bunka.go.jp/id/C45988,C45988,ユウビス,大阪府東大阪市川俣本町11-10,,
https://mediaarts-db.bunka.go.jp/id/C45990,C45990,ロジテック株式会社,東京都千代田区四番町6番地 東急番町ビル11階,,
https://mediaarts-db.bunka.go.jp/id/C46006,C46006,フナイ,大阪府大東市中垣内七丁目7番1号,,
https://mediaarts-db.bunka.go.jp/id/C46011,C46011,Gottllieb,"Chicago, IL, U.S.",,
https://mediaarts-db.bunka.go.jp/id/C45948,C45948,新日本企画,大阪府吹田市江の木町1番6号,,
https://mediaarts-db.bunka.go.jp/id/C45950,C45950,ツムラ,東京都港区赤坂二丁目17番11号赤坂シグマタワービル[1],,
https://mediaarts-db.bunka.go.jp/id/C45955,C45955,カネコ,東京都千代田区平河町2-12-4富士ビルディング3F,,
https://mediaarts-db.bunka.go.jp/id/C45960,C45960,株式会社UPL,茨城県小山市駅南町6-13-30,,
https://mediaarts-db.bunka.go.jp/id/C45933,C45933,エイブルコーポレーション,東京都豊島区池袋4-8-3 エイブルビル,,
https://mediaarts-db.bunka.go.jp/id/C45919,C45919,三木商事,東京都品川区南大井5丁目13番1号モア・アペックス大森204,,
https://mediaarts-db.bunka.go.jp/id/C45923,C45923,セガ・インタラクティブ,東京都大田区羽田1-2-12,,
https://mediaarts-db.bunka.go.jp/id/C45937,C45937,三基商事,大阪府大阪市北区梅田1-2-2-800（大阪駅前第2ビル）,,
https://mediaarts-db.bunka.go.jp/id/C45939,C45939,シグマ,兵庫県伊丹市南本町3-1-7 ウィズ新伊丹202,,
https://mediaarts-db.bunka.go.jp/id/C46082,C46082,電気音響株式会社,東京都大田区西六郷3丁目26-11,,
https://mediaarts-db.bunka.go.jp/id/C46063,C46063,豊栄産業株式会社,東京都田無市,,
https://mediaarts-db.bunka.go.jp/id/C46078,C46078,エンハート,東京都品川区西五反田7-22-17TOCビル12階,,
https://mediaarts-db.bunka.go.jp/id/C46080,C46080,太陽自動機,東京都江戸川区東葛西5-46-3,,
https://mediaarts-db.bunka.go.jp/id/C46085,C46085,富士商株式会社,山口県山陽小野田市稲荷町10番23号,,
https://mediaarts-db.bunka.go.jp/id/C46088,C46088,テクノン工業株式会社,東京都千代田区麹町1丁目7-12館2F,,
https://mediaarts-db.bunka.go.jp/id/C46099,C46099,Cinematronics,"Texas, USA",,
