,アイテム,識別子,ラベル,地域,緯度,経度
0,https://mediaarts-db.bunka.go.jp/id/C46282,C46282,コンピューターランド北海道,北海道札幌市,43.0617713,141.3544506
1,https://mediaarts-db.bunka.go.jp/id/C46247,C46247,バンダイ・デジタル・エンタテインメント,東京都台東区蔵前3-1-10蔵前セントラルビル5F,35.7032939,139.7905713
2,https://mediaarts-db.bunka.go.jp/id/C46249,C46249,アクティマインド,東京都千代田区神田須田町2-19-27,35.6964878,139.7723911
3,https://mediaarts-db.bunka.go.jp/id/C44984,C44984,アスク,東京都新宿区下宮比町2-6,35.7031365,139.7438473
4,https://mediaarts-db.bunka.go.jp/id/C45062,C45062,エス・エヌ・ケイ,大阪府吹田市江の木町1番6号,34.7569266,135.4965071
5,https://mediaarts-db.bunka.go.jp/id/C45114,C45114,1C Company,"Moscow, Russia",55.755826,37.6173
6,https://mediaarts-db.bunka.go.jp/id/C45102,C45102,魔法,兵庫県神戸市中央区葺合町馬止1-10 マジカルビル,34.7174264,135.1939121
7,https://mediaarts-db.bunka.go.jp/id/C46677,C46677,ジョイナック,東京都中野区本町4-48-17-205,35.6972385,139.6677707
8,https://mediaarts-db.bunka.go.jp/id/C45895,C45895,リズ,東京都中野区本町4-46-9　オーチュー第6ビル3F,35.6972632,139.6689264
9,https://mediaarts-db.bunka.go.jp/id/C45897,C45897,TBSテレビ,東京都港区赤坂5丁目3番6号TBS放送センター内,35.6719055,139.7347717
10,https://mediaarts-db.bunka.go.jp/id/C45898,C45898,フェイス,東京都中野区東京都中野区弥生町1-9-8,35.6915245,139.680629
11,https://mediaarts-db.bunka.go.jp/id/C45900,C45900,HORI,神奈川県横浜市都筑区佐江戸町640,35.5173428,139.562732
12,https://mediaarts-db.bunka.go.jp/id/C45917,C45917,"Atari, Inc.","417 Fifth Avenue, New York, NY 10016, United States",40.7506098,-73.9827098
13,https://mediaarts-db.bunka.go.jp/id/C45906,C45906,アスク講談社,東京都新宿区下宮比町2-6,35.7031365,139.7438473
14,https://mediaarts-db.bunka.go.jp/id/C45911,C45911,シャングリ・ラ,東京都府中市清水が丘1丁目1番地3,35.6683254,139.4952355
15,https://mediaarts-db.bunka.go.jp/id/C45915,C45915,コーエーテクモウェーブ,東京都千代田区九段北四丁目1番34号,35.6930396,139.7405009
16,https://mediaarts-db.bunka.go.jp/id/C45964,C45964,コナミアミューズメント,愛知県一宮市高田字池尻１番地,35.3353808,136.7992661
17,https://mediaarts-db.bunka.go.jp/id/C45976,C45976,エイエムアイ,東京都豊島区南池袋1-10-13　荒井ビル2F,35.7247829,139.7109573
18,https://mediaarts-db.bunka.go.jp/id/C45988,C45988,ユウビス,大阪府東大阪市川俣本町11-10,34.6818766,135.5800258
19,https://mediaarts-db.bunka.go.jp/id/C45990,C45990,ロジテック株式会社,東京都千代田区四番町6番地 東急番町ビル11階,35.6892357,139.7357443
20,https://mediaarts-db.bunka.go.jp/id/C46006,C46006,フナイ,大阪府大東市中垣内七丁目7番1号,34.7050036,135.6382909
21,https://mediaarts-db.bunka.go.jp/id/C46011,C46011,Gottllieb,"Chicago, IL, U.S.",41.8781136,-87.6297982
22,https://mediaarts-db.bunka.go.jp/id/C45948,C45948,新日本企画,大阪府吹田市江の木町1番6号,34.7569266,135.4965071
23,https://mediaarts-db.bunka.go.jp/id/C45950,C45950,ツムラ,東京都港区赤坂二丁目17番11号赤坂シグマタワービル[1],35.6707506,139.7394564
24,https://mediaarts-db.bunka.go.jp/id/C45955,C45955,カネコ,東京都千代田区平河町2-12-4富士ビルディング3F,35.6806531,139.7416119
25,https://mediaarts-db.bunka.go.jp/id/C45960,C45960,株式会社UPL,茨城県小山市駅南町6-13-30,36.299207,139.8146907
26,https://mediaarts-db.bunka.go.jp/id/C45933,C45933,エイブルコーポレーション,東京都豊島区池袋4-8-3 エイブルビル,35.7378945,139.7080206
27,https://mediaarts-db.bunka.go.jp/id/C45919,C45919,三木商事,東京都品川区南大井5丁目13番1号モア・アペックス大森204,35.5960242,139.734028
28,https://mediaarts-db.bunka.go.jp/id/C45923,C45923,セガ・インタラクティブ,東京都大田区羽田1-2-12,35.5516346,139.7434082
29,https://mediaarts-db.bunka.go.jp/id/C45937,C45937,三基商事,大阪府大阪市北区梅田1-2-2-800（大阪駅前第2ビル）,34.6988189,135.4979412
30,https://mediaarts-db.bunka.go.jp/id/C45939,C45939,シグマ,兵庫県伊丹市南本町3-1-7 ウィズ新伊丹202,34.7745532,135.4184964
31,https://mediaarts-db.bunka.go.jp/id/C46082,C46082,電気音響株式会社,東京都大田区西六郷3丁目26-11,35.5449372,139.7083295
32,https://mediaarts-db.bunka.go.jp/id/C46063,C46063,豊栄産業株式会社,東京都田無市,35.730121,139.5369095
33,https://mediaarts-db.bunka.go.jp/id/C46078,C46078,エンハート,東京都品川区西五反田7-22-17TOCビル12階,,
34,https://mediaarts-db.bunka.go.jp/id/C46080,C46080,太陽自動機,東京都江戸川区東葛西5-46-3,35.665682,139.8808282
35,https://mediaarts-db.bunka.go.jp/id/C46085,C46085,富士商株式会社,山口県山陽小野田市稲荷町10番23号,33.9840218,131.1784524
36,https://mediaarts-db.bunka.go.jp/id/C46088,C46088,テクノン工業株式会社,東京都千代田区麹町1丁目7-12館2F,35.6833668,139.7430066
37,https://mediaarts-db.bunka.go.jp/id/C46099,C46099,Cinematronics,"Texas, USA",31.9685988,-99.9018131
38,https://mediaarts-db.bunka.go.jp/id/C46093,C46093,セイブ電子,福島県双葉郡浪江町鬼久保,37.4964498,140.9865772
39,https://mediaarts-db.bunka.go.jp/id/C46096,C46096,タカラアミューズメント,東京都北区東田端一丁目7番3号,35.7384299,139.7630117
40,https://mediaarts-db.bunka.go.jp/id/C46098,C46098,ホームデータ,兵庫県神戸市中央区葺合町馬止1-10 マジカルビル,34.7174264,135.1939121
41,https://mediaarts-db.bunka.go.jp/id/C46102,C46102,チヨダ,東京都杉並区荻窪4丁目30番16号藤澤ビルディング5階,35.7039145,139.6236126
42,https://mediaarts-db.bunka.go.jp/id/C46021,C46021,レジャック株式会社,大阪府大阪市淀川区西中島5月丁目11番10号,34.731623,135.500447
43,https://mediaarts-db.bunka.go.jp/id/C46028,C46028,ユニバーサルエンターテインメント,東京都江東区有明三丁目7番26号有明フロンティアビルA棟,35.6314831,139.7918097
44,https://mediaarts-db.bunka.go.jp/id/C46030,C46030,ウッドプレイス,東京都江東区木場,35.6721684,139.8061141
45,https://mediaarts-db.bunka.go.jp/id/C46035,C46035,金子製作所,東京都三鷹市下連雀3丁目34番4号,35.7004582,139.5608218
46,https://mediaarts-db.bunka.go.jp/id/C46040,C46040,Exidy,"Sunnyvale, CA, U.S",37.36883,-122.0363496
47,https://mediaarts-db.bunka.go.jp/id/C46044,C46044,ジャパンレジャー,東京都品川区西五反田1丁目21番8号 KSS五反田ビル5階,35.6229474,139.7234929
48,https://mediaarts-db.bunka.go.jp/id/C46061,C46061,中日本プロジェクト株式会社,愛知県名古屋市守山区八反6-10,35.1937169,136.9629401
49,https://mediaarts-db.bunka.go.jp/id/C46165,C46165,ZEPHER,神奈川県横浜市港北区小机町1518番地 メゾン・チバ305,35.5084006,139.5957136
